"Participant","Illusion_Type","Illusion_Difference","Illusion_Strength","File","Block","Trial","ISI","RT","Response","Response_Correct","Error","Illusion_Effect","Task_Difficulty","Condition_Illusion","Condition_Difficulty"
"S002","MullerLyer",-0.18509,-21,"MullerLyer_-21.000_-0.18509","A",1,140494,1.074,"ArrowDown","true",0,"Congruent",0.18509,"Congruent - Strong","Hard"
"S002","MullerLyer",0.30447,-15,"MullerLyer_-15.000_0.30447","A",2,142272,0.468,"ArrowUp","true",0,"Congruent",0.30447,"Congruent - Mild","Easy"
"S002","MullerLyer",0.18509,-15,"MullerLyer_-15.000_0.18509","A",3,143523,0.578,"ArrowUp","true",0,"Congruent",0.18509,"Congruent - Mild","Hard"
"S002","MullerLyer",0.30447,-21,"MullerLyer_-21.000_0.30447","A",4,144909,0.502,"ArrowUp","true",0,"Congruent",0.30447,"Congruent - Strong","Easy"
"S002","MullerLyer",0.30447,-9,"MullerLyer_-9.0000_0.30447","A",5,146089,0.659,"ArrowUp","true",0,"Congruent",0.30447,"Congruent - Mild","Easy"
"S002","MullerLyer",-0.45,21,"MullerLyer_21.0000_-0.4500","A",6,147770,0.5,"ArrowDown","true",0,"Incongruent",0.45,"Incongruent - Strong","Easy"
"S002","MullerLyer",-0.08716,-9,"MullerLyer_-9.0000_-0.08716","A",7,149070,0.436,"ArrowDown","true",0,"Congruent",0.08716,"Congruent - Mild","Hard"
"S002","MullerLyer",-0.45,-15,"MullerLyer_-15.000_-0.4500","A",8,150126,0.718,"ArrowDown","true",0,"Congruent",0.45,"Congruent - Mild","Easy"
"S002","MullerLyer",0.08716,15,"MullerLyer_15.0000_0.08716","A",9,151906,0.231,"ArrowDown","false",1,"Incongruent",0.08716,"Incongruent - Mild","Hard"
"S002","MullerLyer",-0.08716,9,"MullerLyer_9.00000_-0.08716","A",10,152921,0.789,"ArrowUp","false",1,"Incongruent",0.08716,"Incongruent - Mild","Hard"
"S002","MullerLyer",-0.30447,21,"MullerLyer_21.0000_-0.30447","A",11,154391,0.773,"ArrowUp","false",1,"Incongruent",0.30447,"Incongruent - Strong","Easy"
"S002","MullerLyer",-0.45,-9,"MullerLyer_-9.0000_-0.4500","A",12,156177,0.404,"ArrowDown","true",0,"Congruent",0.45,"Congruent - Mild","Easy"
"S002","MullerLyer",0.08716,27,"MullerLyer_27.0000_0.08716","A",13,157532,0.354,"ArrowDown","false",1,"Incongruent",0.08716,"Incongruent - Strong","Hard"
"S002","MullerLyer",0.45,27,"MullerLyer_27.0000_0.45000","A",14,158522,0.495,"ArrowUp","true",0,"Incongruent",0.45,"Incongruent - Strong","Easy"
"S002","MullerLyer",0.30447,9,"MullerLyer_9.00000_0.30447","A",15,159909,0.551,"ArrowUp","true",0,"Incongruent",0.30447,"Incongruent - Mild","Easy"
"S002","MullerLyer",-0.45,15,"MullerLyer_15.0000_-0.4500","A",16,161541,0.465,"ArrowDown","true",0,"Incongruent",0.45,"Incongruent - Mild","Easy"
"S002","MullerLyer",-0.18509,-9,"MullerLyer_-9.0000_-0.18509","A",17,162836,0.458,"ArrowDown","true",0,"Congruent",0.18509,"Congruent - Mild","Hard"
"S002","MullerLyer",-0.18509,-27,"MullerLyer_-27.000_-0.18509","A",18,164094,0.53,"ArrowDown","true",0,"Congruent",0.18509,"Congruent - Strong","Hard"
"S002","MullerLyer",-0.30447,9,"MullerLyer_9.00000_-0.30447","A",19,165592,0.39,"ArrowDown","true",0,"Incongruent",0.30447,"Incongruent - Mild","Easy"
"S002","MullerLyer",0.18509,9,"MullerLyer_9.00000_0.18509","A",20,166594,0.564,"ArrowUp","true",0,"Incongruent",0.18509,"Incongruent - Mild","Hard"
"S002","MullerLyer",0.30447,21,"MullerLyer_21.0000_0.30447","A",21,167774,0.577,"ArrowUp","true",0,"Incongruent",0.30447,"Incongruent - Strong","Easy"
"S002","MullerLyer",0.45,-9,"MullerLyer_-9.0000_0.45000","A",22,169413,0.695,"ArrowUp","true",0,"Congruent",0.45,"Congruent - Mild","Easy"
"S002","MullerLyer",-0.30447,-21,"MullerLyer_-21.000_-0.30447","A",23,170739,0.285,"ArrowDown","true",0,"Congruent",0.30447,"Congruent - Strong","Easy"
"S002","MullerLyer",-0.45,-3,"MullerLyer_-3.0000_-0.4500","A",24,171683,0.542,"ArrowDown","true",0,"Congruent",0.45,"Congruent - Mild","Easy"
"S002","MullerLyer",0.18509,-3,"MullerLyer_-3.0000_0.18509","A",25,172841,0.467,"ArrowUp","true",0,"Congruent",0.18509,"Congruent - Mild","Hard"
"S002","MullerLyer",0.18509,-9,"MullerLyer_-9.0000_0.18509","A",26,173733,0.656,"ArrowUp","true",0,"Congruent",0.18509,"Congruent - Mild","Hard"
"S002","MullerLyer",-0.30447,15,"MullerLyer_15.0000_-0.30447","A",27,175123,0.271,"ArrowDown","true",0,"Incongruent",0.30447,"Incongruent - Mild","Easy"
"S002","MullerLyer",0.30447,15,"MullerLyer_15.0000_0.30447","A",28,176128,0.547,"ArrowUp","true",0,"Incongruent",0.30447,"Incongruent - Mild","Easy"
"S002","MullerLyer",0.30447,-3,"MullerLyer_-3.0000_0.30447","A",29,177320,0.678,"ArrowUp","true",0,"Congruent",0.30447,"Congruent - Mild","Easy"
"S002","MullerLyer",-0.18509,15,"MullerLyer_15.0000_-0.18509","A",30,178917,0.703,"ArrowDown","true",0,"Incongruent",0.18509,"Incongruent - Mild","Hard"
"S002","MullerLyer",0.30447,-27,"MullerLyer_-27.000_0.30447","A",31,180668,0.358,"ArrowUp","true",0,"Congruent",0.30447,"Congruent - Strong","Easy"
"S002","MullerLyer",-0.08716,-3,"MullerLyer_-3.0000_-0.08716","A",32,182079,0.374,"ArrowUp","false",1,"Congruent",0.08716,"Congruent - Mild","Hard"
"S002","MullerLyer",-0.30447,27,"MullerLyer_27.0000_-0.30447","A",33,183316,0.554,"ArrowDown","true",0,"Incongruent",0.30447,"Incongruent - Strong","Easy"
"S002","MullerLyer",-0.45,-21,"MullerLyer_-21.000_-0.4500","A",34,184923,0.532,"ArrowDown","true",0,"Congruent",0.45,"Congruent - Strong","Easy"
"S002","MullerLyer",0.45,-3,"MullerLyer_-3.0000_0.45000","A",35,186082,0.502,"ArrowUp","true",0,"Congruent",0.45,"Congruent - Mild","Easy"
"S002","MullerLyer",-0.30447,-9,"MullerLyer_-9.0000_-0.30447","A",36,187560,0.351,"ArrowDown","true",0,"Congruent",0.30447,"Congruent - Mild","Easy"
"S002","MullerLyer",0.45,9,"MullerLyer_9.00000_0.45000","A",37,188749,0.306,"ArrowDown","false",1,"Incongruent",0.45,"Incongruent - Mild","Easy"
"S002","MullerLyer",0.08716,-3,"MullerLyer_-3.0000_0.08716","A",38,190076,0.241,"ArrowUp","true",0,"Congruent",0.08716,"Congruent - Mild","Hard"
"S002","MullerLyer",0.45,-27,"MullerLyer_-27.000_0.45000","A",39,190987,0.332,"ArrowUp","true",0,"Congruent",0.45,"Congruent - Strong","Easy"
"S002","MullerLyer",-0.18509,-15,"MullerLyer_-15.000_-0.18509","A",40,191936,0.429,"ArrowDown","true",0,"Congruent",0.18509,"Congruent - Mild","Hard"
"S002","MullerLyer",0.08716,-15,"MullerLyer_-15.000_0.08716","A",41,193310,0.256,"ArrowUp","true",0,"Congruent",0.08716,"Congruent - Mild","Hard"
"S002","MullerLyer",0.18509,-27,"MullerLyer_-27.000_0.18509","A",42,194554,0.245,"ArrowUp","true",0,"Congruent",0.18509,"Congruent - Strong","Hard"
"S002","MullerLyer",-0.45,-27,"MullerLyer_-27.000_-0.4500","A",43,195670,0.307,"ArrowUp","false",1,"Congruent",0.45,"Congruent - Strong","Easy"
"S002","MullerLyer",-0.45,3,"MullerLyer_3.00000_-0.4500","A",44,196721,0.425,"ArrowDown","true",0,"Incongruent",0.45,"Incongruent - Mild","Easy"
"S002","MullerLyer",-0.08716,21,"MullerLyer_21.0000_-0.08716","A",45,197806,0.565,"ArrowUp","false",1,"Incongruent",0.08716,"Incongruent - Strong","Hard"
"S002","MullerLyer",-0.45,9,"MullerLyer_9.00000_-0.4500","A",46,199022,0.654,"ArrowDown","true",0,"Incongruent",0.45,"Incongruent - Mild","Easy"
"S002","MullerLyer",0.18509,21,"MullerLyer_21.0000_0.18509","A",47,200315,0.382,"ArrowDown","false",1,"Incongruent",0.18509,"Incongruent - Strong","Hard"
"S002","MullerLyer",-0.18509,27,"MullerLyer_27.0000_-0.18509","A",48,201413,0.506,"ArrowUp","false",1,"Incongruent",0.18509,"Incongruent - Strong","Hard"
"S002","MullerLyer",0.18509,3,"MullerLyer_3.00000_0.18509","A",49,203021,0.633,"ArrowUp","true",0,"Incongruent",0.18509,"Incongruent - Mild","Hard"
"S002","MullerLyer",-0.18509,9,"MullerLyer_9.00000_-0.18509","A",50,204291,0.508,"ArrowUp","false",1,"Incongruent",0.18509,"Incongruent - Mild","Hard"
"S002","MullerLyer",0.18509,27,"MullerLyer_27.0000_0.18509","A",51,205454,0.77,"ArrowDown","false",1,"Incongruent",0.18509,"Incongruent - Strong","Hard"
"S002","MullerLyer",0.08716,21,"MullerLyer_21.0000_0.08716","A",52,207073,NA,"","false",1,"Incongruent",0.08716,"Incongruent - Strong","Hard"
"S002","MullerLyer",-0.18509,-3,"MullerLyer_-3.0000_-0.18509","A",53,209139,6.946,"ArrowDown","true",0,"Congruent",0.18509,"Congruent - Mild","Hard"
"S002","MullerLyer",-0.08716,-21,"MullerLyer_-21.000_-0.08716","A",54,215088,3.64,"ArrowDown","true",0,"Congruent",0.08716,"Congruent - Strong","Hard"
"S002","MullerLyer",-0.30447,-27,"MullerLyer_-27.000_-0.30447","A",55,219773,1.903,"ArrowDown","true",0,"Congruent",0.30447,"Congruent - Strong","Easy"
"S002","MullerLyer",-0.08716,15,"MullerLyer_15.0000_-0.08716","A",56,222761,0.337,"ArrowDown","true",0,"Incongruent",0.08716,"Incongruent - Mild","Hard"
"S002","MullerLyer",0.18509,-21,"MullerLyer_-21.000_0.18509","A",57,224084,0.318,"ArrowDown","false",1,"Congruent",0.18509,"Congruent - Strong","Hard"
"S002","MullerLyer",-0.08716,27,"MullerLyer_27.0000_-0.08716","A",58,225462,0.264,"ArrowUp","false",1,"Incongruent",0.08716,"Incongruent - Strong","Hard"
"S002","MullerLyer",0.45,21,"MullerLyer_21.0000_0.45000","A",59,226396,0.505,"ArrowUp","true",0,"Incongruent",0.45,"Incongruent - Strong","Easy"
"S002","MullerLyer",0.08716,-27,"MullerLyer_-27.000_0.08716","A",60,228011,0.344,"ArrowUp","true",0,"Congruent",0.08716,"Congruent - Strong","Hard"
"S002","MullerLyer",0.30447,27,"MullerLyer_27.0000_0.30447","A",61,229367,0.506,"ArrowDown","false",1,"Incongruent",0.30447,"Incongruent - Strong","Easy"
"S002","MullerLyer",0.45,-15,"MullerLyer_-15.000_0.45000","A",62,230936,0.374,"ArrowUp","true",0,"Congruent",0.45,"Congruent - Mild","Easy"
"S002","MullerLyer",-0.08716,3,"MullerLyer_3.00000_-0.08716","A",63,232028,0.577,"ArrowDown","true",0,"Incongruent",0.08716,"Incongruent - Mild","Hard"
"S002","MullerLyer",-0.45,27,"MullerLyer_27.0000_-0.4500","A",64,233390,0.272,"ArrowUp","false",1,"Incongruent",0.45,"Incongruent - Strong","Easy"
"S002","MullerLyer",0.45,-21,"MullerLyer_-21.000_0.45000","A",65,234420,0.311,"ArrowDown","false",1,"Congruent",0.45,"Congruent - Strong","Easy"
"S002","MullerLyer",-0.18509,3,"MullerLyer_3.00000_-0.18509","A",66,235611,0.464,"ArrowUp","false",1,"Incongruent",0.18509,"Incongruent - Mild","Hard"
"S002","MullerLyer",0.08716,3,"MullerLyer_3.00000_0.08716","A",67,236788,0.571,"ArrowUp","true",0,"Incongruent",0.08716,"Incongruent - Mild","Hard"
"S002","MullerLyer",0.30447,3,"MullerLyer_3.00000_0.30447","A",68,238429,0.244,"ArrowUp","true",0,"Incongruent",0.30447,"Incongruent - Mild","Easy"
"S002","MullerLyer",0.08716,-9,"MullerLyer_-9.0000_0.08716","A",69,239404,0.266,"ArrowUp","true",0,"Congruent",0.08716,"Congruent - Mild","Hard"
"S002","MullerLyer",0.45,3,"MullerLyer_3.00000_0.45000","A",70,240601,0.254,"ArrowUp","true",0,"Incongruent",0.45,"Incongruent - Mild","Easy"
"S002","MullerLyer",-0.30447,3,"MullerLyer_3.00000_-0.30447","A",71,241879,0.302,"ArrowUp","false",1,"Incongruent",0.30447,"Incongruent - Mild","Easy"
"S002","MullerLyer",-0.08716,-15,"MullerLyer_-15.000_-0.08716","A",72,242970,0.234,"ArrowDown","true",0,"Congruent",0.08716,"Congruent - Mild","Hard"
"S002","MullerLyer",-0.18509,21,"MullerLyer_21.0000_-0.18509","A",73,244098,0.209,"ArrowDown","true",0,"Incongruent",0.18509,"Incongruent - Strong","Hard"
"S002","MullerLyer",-0.08716,-27,"MullerLyer_-27.000_-0.08716","A",74,245313,0.246,"ArrowUp","false",1,"Congruent",0.08716,"Congruent - Strong","Hard"
"S002","MullerLyer",-0.30447,-3,"MullerLyer_-3.0000_-0.30447","A",75,246311,0.253,"ArrowUp","false",1,"Congruent",0.30447,"Congruent - Mild","Easy"
"S002","MullerLyer",-0.30447,-15,"MullerLyer_-15.000_-0.30447","A",76,247607,0.211,"ArrowUp","false",1,"Congruent",0.30447,"Congruent - Mild","Easy"
"S002","MullerLyer",0.08716,9,"MullerLyer_9.00000_0.08716","A",77,248836,0.591,"ArrowUp","true",0,"Incongruent",0.08716,"Incongruent - Mild","Hard"
"S002","MullerLyer",0.18509,15,"MullerLyer_15.0000_0.18509","A",78,250299,0.574,"ArrowUp","true",0,"Incongruent",0.18509,"Incongruent - Mild","Hard"
"S002","MullerLyer",0.45,15,"MullerLyer_15.0000_0.45000","A",79,251757,0.647,"ArrowUp","true",0,"Incongruent",0.45,"Incongruent - Mild","Easy"
"S002","MullerLyer",0.08716,-21,"MullerLyer_-21.000_0.08716","A",80,253211,0.595,"ArrowUp","true",0,"Congruent",0.08716,"Congruent - Strong","Hard"
"S002","Ebbinghaus",0.3383,0.15,"Ebbinghaus_0.15000_0.33830","A",1,258183,0.466,"ArrowRight","false",1,"Incongruent",0.3383,"Incongruent - Mild","Easy"
"S002","Ebbinghaus",-0.3383,0.45,"Ebbinghaus_0.45000_-0.3383","A",2,259709,0.423,"ArrowRight","true",0,"Incongruent",0.3383,"Incongruent - Mild","Easy"
"S002","Ebbinghaus",0.09684,-1.05,"Ebbinghaus_-1.0500_0.09684","A",3,260769,0.482,"ArrowRight","false",1,"Congruent",0.09684,"Congruent - Strong","Hard"
"S002","Ebbinghaus",-0.5,1.05,"Ebbinghaus_1.05000_-0.5000","A",4,261971,0.525,"ArrowRight","true",0,"Incongruent",0.5,"Incongruent - Strong","Easy"
"S002","Ebbinghaus",-0.5,1.35,"Ebbinghaus_1.35000_-0.5000","A",5,263341,0.304,"ArrowLeft","false",1,"Incongruent",0.5,"Incongruent - Strong","Easy"
"S002","Ebbinghaus",0.20566,-0.45,"Ebbinghaus_-0.4500_0.20566","A",6,264602,0.489,"ArrowRight","false",1,"Congruent",0.20566,"Congruent - Mild","Hard"
"S002","Ebbinghaus",0.09684,-0.45,"Ebbinghaus_-0.4500_0.09684","A",7,266095,0.5,"ArrowRight","false",1,"Congruent",0.09684,"Congruent - Mild","Hard"
"S002","Ebbinghaus",-0.09684,0.75,"Ebbinghaus_0.75000_-0.09684","A",8,267320,0.53,"ArrowRight","true",0,"Incongruent",0.09684,"Incongruent - Mild","Hard"
"S002","Ebbinghaus",-0.20566,-0.45,"Ebbinghaus_-0.4500_-0.20566","A",9,268566,0.449,"ArrowRight","true",0,"Congruent",0.20566,"Congruent - Mild","Hard"
"S002","Ebbinghaus",-0.09684,-1.05,"Ebbinghaus_-1.0500_-0.09684","A",10,269836,0.571,"ArrowRight","true",0,"Congruent",0.09684,"Congruent - Strong","Hard"
"S002","Ebbinghaus",0.5,0.15,"Ebbinghaus_0.15000_0.50000","A",11,271347,0.448,"ArrowLeft","true",0,"Incongruent",0.5,"Incongruent - Mild","Easy"
"S002","Ebbinghaus",0.3383,-0.75,"Ebbinghaus_-0.7500_0.33830","A",12,272667,0.493,"ArrowLeft","true",0,"Congruent",0.3383,"Congruent - Mild","Easy"
"S002","Ebbinghaus",-0.3383,-0.75,"Ebbinghaus_-0.7500_-0.3383","A",13,274012,0.463,"ArrowRight","true",0,"Congruent",0.3383,"Congruent - Mild","Easy"
