"Participant","Recruitment","Experiment_StartDate","Experiment_Duration","Browser_Version","Mobile","Platform","Screen_Width","Screen_Height","Prolific_ID","Gender","Age","Education","Discipline","Student","Ethnicity","pcs_handslow","pcs_magnetichands","pcs_mosquito","pcs_tastesweet","pcs_tastesour","pcs_armrigidity","pcs_armimmobile","pcs_music","pcs_negativehallucination","pcs_urgepress","pcs_memorypress","pcs_amnesia","pcs_yellowball","pcs_redball","pcs_greenball","pcs_blueball","pcs_purpleball","pcs_orangeball","pcs_noballs","pcs_amnesia_w","pcs_remember_w","pcs_hello","pcs_press","pid_Dis1","pid_Dis2","pid_Dis3","pid_Dis5","pid_Dis6","pid_Det4","pid_Det13","pid_Det14","pid_Det16","pid_Det18","pid_Psy7","pid_Psy12","pid_Psy21","pid_Psy23","pid_Psy24","pid_NegAff8","pid_NegAff9","pid_NegAff10","pid_NegAff11","pid_NegAff15","pid_Ant17","pid_Ant19","pid_Ant20","pid_Ant22","pid_Ant25","ipip_Cons3","ipip_Cons10","ipip_Cons11_R","ipip_Cons22_R","ipip_Ext1","ipip_Ext7_R","ipip_Ext19_R","ipip_Ext23","ipip_Agr2","ipip_Agr8_R","ipip_Agr14","ipip_Agr20_R","ipip_HonHum6_R","ipip_HonHum12_R","ipip_HonHum18_R","ipip_HonHum24_R","ipip_Neuro4","ipip_Neuro15_R","ipip_Neuro16","ipip_Neuro17_R","ipip_Open5","ipip_Open9_R","ipip_Open13_R","ipip_Open21_R","IPIP6_Extraversion","IPIP6_Conscientiousness","IPIP6_Neuroticism","IPIP6_Openness","IPIP6_HonestyHumility","IPIP6_Agreeableness","PID5_Disinhibition","PID5_Detachment","PID5_NegativeAffect","PID5_Antagonism","PID5_Psychoticism"
"S002",NA,"2026-04-01 16:41:32",43.4241666666667,"chrome 146.0.0","false","Mac OS",1440,706,"5b6f5150410d9d0001a551e4","Female",40,"Master","Arts and Humanities",FALSE,"White",3,4,3,4,4,4,3,2,4,4,4,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Something about balls and I can't remember.",NA,"Hello",6,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,0,0,0.5,0,1,0.5,0,0,0,0,0,0,4,4,2,5,2,4,5,2,6,2,6,1,1,1,1,1,2,5,1,3,5,1,1,1,2.75,4.25,2.75,6.5,7,6.25,0.1,0.1,0.4,0,0.1
"S003",NA,"2026-04-01 17:22:19",47.8379333333333,"opera 128.0.0","false","Windows 10",1878,956,"6997908d2509fa282abd39cf","Male",20,"High school",NA,TRUE,"White",4,2,1,0,0,4,2,0,0,3,0,3,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,"listening for happy birthday music, hitting spacebar 6 times","Hello",6,1,1,1,0.5,1,0.5,0.5,0.5,0.5,0.5,1,0.5,1,1,0,1,0.5,2,2,0.5,0,0.5,0,0,0.5,2,4,4,6,5,3,4,3,7,2,6,2,3,5,4,3,3,5,4,4,5,3,4,4,4.25,3,3.5,4.5,4.25,6.25,0.9,0.5,1.2,0.2,0.7
"S004",NA,"2026-04-01 18:16:21",53.4456833333333,"chrome 145.0.0","false","Mac OS",1470,831,"6997ab9f698c60b50beaba59","Female",26,"Bachelor","Engineering, Computer Science",FALSE,"South Asian",4,3,5,3,5,5,4,2,0,5,0,3,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,"I held the hand in different positions and carried objects. Imagined 2 balls. Listened to the Happy Birthday song.",NA,"Hello",6,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,1,1,0.5,0.5,0.5,0,0.5,0.5,0,0,5,5,3,2,5,2,4,4,5,4,5,3,4,5,6,5,5,4,5,3,5,3,2,4,4.75,5.25,4.75,5,3,4.75,0.3,0.5,0.7,0.2,0.4
"S005",NA,"2026-04-02 09:36:12",46.1691833333333,"chrome 146.0.0","false","Windows 10",1478,673,"67433b6e21271e2da703ee36","Male",47,"Bachelor","Communitcation",FALSE,"White",4,2,3,4,3,5,2,0,1,5,0,3,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,"Right arm being pulled down.  Heavy left arm on my lap.  Extended hands with palms facing having attraction. Sweet and sour tastes.  Identify number of balls (one being invisible).  Right arm held out and becoming stiff.","Hello",6,1,1,1,0.5,0.5,2,2,1,2,1,1,1,1,1,2,2,1,2,1,2,0.5,0,0.5,0,0.5,3,5,5,6,2,6,7,2,4,4,5,7,3,4,2,4,6,2,3,3,5,5,3,3,1.75,3.25,5,4.5,4.75,3.5,0.8,1.6,1.6,0.3,1.2
"S007",NA,"2026-04-02 13:15:13",46.4243166666667,"edge-chromium 146.0.0","false","Windows 10",1358,636,"698a6e1a2fb6c6ffe087cfdd","Female",46,"Master","Psychology, Neuroscience",FALSE,"White",3,2,3,1,2,4,3,0,0,5,0,3,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"put arms out, held heavy object, couldnt bend arm, listened to music, saw colored balls, memory task","held arm out with heavy object, tried to bend arm, palms facing each other like a magnet moved arms together, saw colored balls, listened to happy birthday- didn't hear any music","Hello",6,0,0.5,0,0,1,0.5,0,1,2,1,0,0,0,0.5,0,0.5,0.5,0,0,2,0,0.5,0,0,0,4,6,1,1,4,3,4,6,4,2,2,4,2,2,4,2,5,6,2,4,2,2,6,2,4.75,6,3.25,4,5.5,4,0.3,0.9,0.6,0.1,0.1
"S008",NA,"2026-04-02 15:26:04",44.22185,"chrome 146.0.0","false","Windows 10",1920,959,"6918ad14fcfdc8ec8f99d226","Female",38,"Bachelor","Sociology, Anthropology",FALSE,"White",4,3,4,1,4,4,3,0,0,5,0,4,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Imagining holding a heavy ball.Imagining a magnetic force pulling hands togetherImagining a sweet taste in my mouth turning to sour.Seeing two balls on screen when there were actually three.raising hand when hearing happy birthday despite not hearing it.","pressing the keyboard 6 times after seeing please wait on the screen.","Hello",6,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7,7,1,1,3,3,3,3,6,3,6,4,1,1,1,3,1,6,2,5,6,1,1,1,4,7,2,6.75,6.5,5.25,0.4,0.2,0.2,0,0.2
"S011",NA,"2026-04-02 15:36:43",44.9314666666667,"chrome 146.0.0","false","Windows 10",1366,607,"673401c52dc6bf17faf8cfd3","Female",37,"Bachelor","Arts and Humanities",FALSE,"Black",3,2,3,1,0,2,2,0,0,3,0,0,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"I was asked to walk down a set of stairs. I was asked to hold my hand out and hold an imaginary bowling ball. I was asked to feel my palms attracting each other. I was asked to feel my left hand become heavier. I was asked to let you know when I hear happy birthday. I was asked to imagine 2 balls.","I remember all the things I remembered before.","Hello",6,0.5,0.5,0.5,0.5,1,1,0.5,0.5,1,1,0.5,0,1,0.5,0,1,1,0.5,1,1,0,0,0,0,0,3,5,5,5,2,6,6,2,6,2,5,2,2,3,1,2,3,3,4,2,6,1,2,1,2,3.5,4.5,6.5,6,5.75,0.6,0.8,0.9,0,0.4
"S012",NA,"2026-04-02 15:40:38",41.0515166666667,"chrome 144.0.0","false","Windows 10",1536,738,"69c2a5198aa5db0caf0f802f","Male",39,"Bachelor","Engineering, Computer Science",FALSE,"South Asian",4,5,2,3,2,4,4,3,0,5,0,4,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Held my hand a feet apart and brought them closer. That is all I remember","I held a bowling ball in my hand, I held my hand apart and brought it closer, I kept my left hand in my lap and it kept getting heavier, I was able to taste something sweet/sour, A mosquito bit me on my hand, I listened to a Birthday song, I saw three colored balls","Hello",6,0.5,1,1,1,1,0.5,0,0.5,0,1,1,1,1,0.5,0.5,0.5,1,0.5,0.5,0.5,0,0,0,0,0.5,4,6,3,3,2,6,5,5,6,3,5,2,2,5,4,4,2,6,4,3,5,2,3,2,3,5,3.25,5.5,4.25,5.5,0.9,0.4,0.6,0.1,0.8
"S013",NA,"2026-04-02 15:58:46",59.8070833333333,"chrome 146.0.0","false","Mac OS",1512,759,"69975af56e47c98f4a633844","Male",26,"Master","Engineering, Computer Science",FALSE,"White",4,2,4,5,3,5,3,2,2,3,2,3,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,"heavy right hand, heavy left hand, see 2 balls on the screen, mosquito, imagine happy birthday","taste something sweet and sour, arms stiff, magnetized hands","Hello",6,0,0,0.5,1,0.5,1,0.5,0.5,1,1,1,0,1,1,0.5,2,0,0.5,1,0.5,0,0.5,0,0,0,4,5,3,5,2,6,6,2,4,2,2,5,2,2,1,6,1,5,2,3,6,3,2,3,2,4.25,2.75,5.5,5.25,3.75,0.4,0.8,0.8,0.1,0.7
"S014",NA,"2026-04-02 16:22:45",47.03205,"safari 26.3.0","false","Mac OS",1326,731,"69a3460f280a85619c6f4cc2","Male",31,"Bachelor","Biology, Chemistry, Physics",FALSE,"White",1,2,1,0,0,0,1,0,0,4,0,0,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,"Hello",6,0,0.5,0.5,0.5,0,1,0.5,1,2,1,0,0,0,0.5,0,2,0.5,0.5,1,0.5,0,0,0,0,0,4,7,4,1,3,4,4,6,6,5,5,5,1,2,4,3,3,4,5,2,7,1,1,1,4.25,5.5,4.5,7,5.5,4.25,0.3,1.1,0.9,0,0.1
