"Participant","Illusion_Type","Illusion_Difference","Illusion_Strength","File","Block","Trial","ISI","RT","Response","Response_Correct","Error"
"S001","MullerLyer",-0.045,-24,"stimuli/MullerLyer_-24.000_-0.0450.png","B",1,206895,0.335,"ArrowDown","arrowdown",0
"S001","MullerLyer",0.37364,30,"stimuli/MullerLyer_30.0000_0.37364.png","B",2,208302,0.319,"ArrowUp","arrowup",0
"S001","MullerLyer",0.37364,-24,"stimuli/MullerLyer_-24.000_0.37364.png","B",3,209479,0.291,"ArrowDown","arrowup",0
"S001","MullerLyer",-0.1337,-6,"stimuli/MullerLyer_-6.0000_-0.1337.png","B",4,210715,0.259,"ArrowUp","arrowdown",0
"S001","MullerLyer",0.24183,-18,"stimuli/MullerLyer_-18.000_0.24183.png","B",5,211936,0.385,"ArrowUp","arrowup",0
"S001","MullerLyer",0.1337,-18,"stimuli/MullerLyer_-18.000_0.13370.png","B",6,213036,0.46,"ArrowDown","arrowup",0
"S001","MullerLyer",0.045,6,"stimuli/MullerLyer_6.00000_0.04500.png","B",7,214484,0.708,"ArrowUp","arrowup",0
"S001","MullerLyer",0.045,12,"stimuli/MullerLyer_12.0000_0.04500.png","B",8,216153,0.225,"ArrowDown","arrowup",0
"S001","MullerLyer",-0.24183,-30,"stimuli/MullerLyer_-30.000_-0.24183.png","B",9,217037,0.409,"ArrowDown","arrowdown",0
"S001","MullerLyer",-0.37364,30,"stimuli/MullerLyer_30.0000_-0.37364.png","B",10,218120,0.337,"ArrowUp","arrowdown",0
"S001","MullerLyer",0.045,-6,"stimuli/MullerLyer_-6.0000_0.04500.png","B",11,219238,0.323,"ArrowDown","arrowup",0
"S001","MullerLyer",-0.24183,-6,"stimuli/MullerLyer_-6.0000_-0.24183.png","B",12,220310,0.411,"ArrowUp","arrowdown",0
"S001","MullerLyer",-0.045,-6,"stimuli/MullerLyer_-6.0000_-0.0450.png","B",13,221342,0.479,"ArrowDown","arrowdown",0
"S001","MullerLyer",0.24183,18,"stimuli/MullerLyer_18.0000_0.24183.png","B",14,222691,0.426,"ArrowUp","arrowup",0
"S001","MullerLyer",0.045,-24,"stimuli/MullerLyer_-24.000_0.04500.png","B",15,223852,0.241,"ArrowUp","arrowup",0
"S001","MullerLyer",0.24183,-12,"stimuli/MullerLyer_-12.000_0.24183.png","B",16,224846,0.124,"ArrowUp","arrowup",0
"S001","MullerLyer",-0.1337,-18,"stimuli/MullerLyer_-18.000_-0.1337.png","B",17,225932,0.148,"ArrowUp","arrowdown",0
"S001","MullerLyer",-0.24183,18,"stimuli/MullerLyer_18.0000_-0.24183.png","B",18,226777,0.247,"ArrowDown","arrowdown",0
"S001","MullerLyer",0.37364,-18,"stimuli/MullerLyer_-18.000_0.37364.png","B",19,228045,0.261,"ArrowDown","arrowup",0
"S001","MullerLyer",0.045,18,"stimuli/MullerLyer_18.0000_0.04500.png","B",20,229319,0.027,"ArrowUp","arrowup",0
"S001","MullerLyer",-0.37364,-24,"stimuli/MullerLyer_-24.000_-0.37364.png","B",21,230327,0.058,"ArrowDown","arrowdown",0
"S001","MullerLyer",0.045,-30,"stimuli/MullerLyer_-30.000_0.04500.png","B",22,231073,0.38,"ArrowUp","arrowup",0
"S001","MullerLyer",-0.24183,24,"stimuli/MullerLyer_24.0000_-0.24183.png","B",23,232554,0.269,"ArrowDown","arrowdown",0
"S001","MullerLyer",-0.24183,12,"stimuli/MullerLyer_12.0000_-0.24183.png","B",24,233803,0.194,"ArrowUp","arrowdown",0
"S001","MullerLyer",0.37364,18,"stimuli/MullerLyer_18.0000_0.37364.png","B",25,234658,0.368,"ArrowUp","arrowup",0
"S001","MullerLyer",0.1337,-6,"stimuli/MullerLyer_-6.0000_0.13370.png","B",26,235913,0.239,"ArrowUp","arrowup",0
"S001","MullerLyer",-0.045,24,"stimuli/MullerLyer_24.0000_-0.0450.png","B",27,237209,0.196,"ArrowDown","arrowdown",0
"S001","MullerLyer",0.24183,-6,"stimuli/MullerLyer_-6.0000_0.24183.png","B",28,238199,0.444,"ArrowUp","arrowup",0
"S001","MullerLyer",0.1337,24,"stimuli/MullerLyer_24.0000_0.13370.png","B",29,239445,0.336,"ArrowUp","arrowup",0
"S001","MullerLyer",-0.24183,-24,"stimuli/MullerLyer_-24.000_-0.24183.png","B",30,240612,0.224,"ArrowUp","arrowdown",0
"S001","MullerLyer",-0.1337,24,"stimuli/MullerLyer_24.0000_-0.1337.png","B",31,241803,0.518,"ArrowDown","arrowdown",0
"S001","MullerLyer",0.37364,-6,"stimuli/MullerLyer_-6.0000_0.37364.png","B",32,243332,0.313,"ArrowDown","arrowup",0
"S001","MullerLyer",-0.24183,-12,"stimuli/MullerLyer_-12.000_-0.24183.png","B",33,244710,0.513,"ArrowDown","arrowdown",0
"S001","MullerLyer",0.37364,-12,"stimuli/MullerLyer_-12.000_0.37364.png","B",34,246250,0.265,"ArrowUp","arrowup",0
"S001","MullerLyer",-0.24183,6,"stimuli/MullerLyer_6.00000_-0.24183.png","B",35,247401,0.213,"ArrowDown","arrowdown",0
"S001","MullerLyer",0.37364,-30,"stimuli/MullerLyer_-30.000_0.37364.png","B",36,248545,0.116,"ArrowUp","arrowup",0
"S001","MullerLyer",0.1337,-12,"stimuli/MullerLyer_-12.000_0.13370.png","B",37,249456,0.224,"ArrowDown","arrowup",0
"S001","MullerLyer",-0.1337,-30,"stimuli/MullerLyer_-30.000_-0.1337.png","B",38,250624,0.033,"ArrowUp","arrowdown",0
"S001","MullerLyer",0.24183,6,"stimuli/MullerLyer_6.00000_0.24183.png","B",39,251409,0.235,"ArrowUp","arrowup",0
"S001","MullerLyer",-0.37364,-30,"stimuli/MullerLyer_-30.000_-0.37364.png","B",40,252662,0.443,"ArrowUp","arrowdown",0
"S001","MullerLyer",-0.045,-18,"stimuli/MullerLyer_-18.000_-0.0450.png","B",41,253944,0.214,"ArrowDown","arrowdown",0
"S001","MullerLyer",-0.045,-12,"stimuli/MullerLyer_-12.000_-0.0450.png","B",42,255259,0.302,"ArrowDown","arrowdown",0
