"Participant","Recruitment","Experiment_StartDate","Experiment_Duration","Browser_Version","Mobile","Platform","Screen_Width","Screen_Height","Prolific_ID","Gender","Age","Education","Discipline","Student","Ethnicity","pcs_handslow","pcs_magnetichands","pcs_mosquito","pcs_tastesweet","pcs_tastesour","pcs_armrigidity","pcs_armimmobile","pcs_music","pcs_negativehallucination","pcs_urgepress","pcs_memorypress","pcs_amnesia","pcs_yellowball","pcs_redball","pcs_greenball","pcs_blueball","pcs_purpleball","pcs_orangeball","pcs_noballs","pcs_amnesia_w","pcs_remember_w","pcs_hello","pcs_press","pid_Dis1","pid_Dis2","pid_Dis3","pid_Dis5","pid_Dis6","pid_Det4","pid_Det13","pid_Det14","pid_Det16","pid_Det18","pid_Psy7","pid_Psy12","pid_Psy21","pid_Psy23","pid_Psy24","pid_NegAff8","pid_NegAff9","pid_NegAff10","pid_NegAff11","pid_NegAff15","pid_Ant17","pid_Ant19","pid_Ant20","pid_Ant22","pid_Ant25","ipip_Cons3","ipip_Cons10","ipip_Cons11_R","ipip_Cons22_R","ipip_Ext1","ipip_Ext7_R","ipip_Ext19_R","ipip_Ext23","ipip_Agr2","ipip_Agr8_R","ipip_Agr14","ipip_Agr20_R","ipip_HonHum6_R","ipip_HonHum12_R","ipip_HonHum18_R","ipip_HonHum24_R","ipip_Neuro4","ipip_Neuro15_R","ipip_Neuro16","ipip_Neuro17_R","ipip_Open5","ipip_Open9_R","ipip_Open13_R","ipip_Open21_R"
"S001",NA,2026-03-31 17:07:39,52.56595,"firefox 148.0.0","false","Windows 10",1366,614,"5cf101ea48405a0018415d09","Female",51,"Bachelor","Biology, Chemistry, Physics",FALSE,"White",3,1,4,0,3,4,3,3,0,0,0,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"","","Hello",0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,4,5,1,1,1,6,2,1,6,1,7,1,1,1,2,2,2,6,4,5,5,1,3,5
"S002",NA,2026-04-01 16:41:32,43.4241666666667,"chrome 146.0.0","false","Mac OS",1440,706,"5b6f5150410d9d0001a551e4","Female",40,"Master","Arts and Humanities",FALSE,"White",3,4,3,4,4,4,3,2,4,4,4,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Something about balls and I can't remember.",NA,"Hello",6,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,0,0,0.5,0,1,0.5,0,0,0,0,0,0,4,4,2,5,2,4,5,2,6,2,6,1,1,1,1,1,2,5,1,3,5,1,1,1
"S003",NA,2026-04-01 17:22:19,47.8379333333333,"opera 128.0.0","false","Windows 10",1878,956,"6997908d2509fa282abd39cf","Male",20,"High school",NA,TRUE,"White",4,2,1,0,0,4,2,0,0,3,0,3,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,"listening for happy birthday music, hitting spacebar 6 times","Hello",6,1,1,1,0.5,1,0.5,0.5,0.5,0.5,0.5,1,0.5,1,1,0,1,0.5,2,2,0.5,0,0.5,0,0,0.5,2,4,4,6,5,3,4,3,7,2,6,2,3,5,4,3,3,5,4,4,5,3,4,4
"S004",NA,2026-04-01 18:16:21,53.4456833333333,"chrome 145.0.0","false","Mac OS",1470,831,"6997ab9f698c60b50beaba59","Female",26,"Bachelor","Engineering, Computer Science",FALSE,"South Asian",4,3,5,3,5,5,4,2,0,5,0,3,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,"I held the hand in different positions and carried objects. Imagined 2 balls. Listened to the Happy Birthday song.",NA,"Hello",6,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,1,1,0.5,0.5,0.5,0,0.5,0.5,0,0,5,5,3,2,5,2,4,4,5,4,5,3,4,5,6,5,5,4,5,3,5,3,2,4
"S005",NA,2026-04-02 09:36:12,46.1691833333333,"chrome 146.0.0","false","Windows 10",1478,673,"67433b6e21271e2da703ee36","Male",47,"Bachelor","Communitcation",FALSE,"White",4,2,3,4,3,5,2,0,1,5,0,3,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,"Right arm being pulled down.  Heavy left arm on my lap.  Extended hands with palms facing having attraction. Sweet and sour tastes.  Identify number of balls (one being invisible).  Right arm held out and becoming stiff.","Hello",6,1,1,1,0.5,0.5,2,2,1,2,1,1,1,1,1,2,2,1,2,1,2,0.5,0,0.5,0,0.5,3,5,5,6,2,6,7,2,4,4,5,7,3,4,2,4,6,2,3,3,5,5,3,3
"S006",NA,2026-04-02 12:32:27,56.2964166666667,"edge-chromium 146.0.0","false","Windows 10",3432,1354,"69919bbf4bc094b98028a151","Male",34,"High school",NA,FALSE,"Hispanic/Latino",0,0,0,0,0,0,1,0,0,1,0,4,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,"right hand holding a bowling ball, imagine two balls.","Hello",0,0,0,0.5,1,1,1,1,2,1,2,1,0,2,0.5,1,0.5,0,0,0.5,0,1,0,0,0,0.5,2,4,6,7,2,6,7,1,7,5,7,5,1,3,1,1,2,7,5,5,6,2,4,2
"S007",NA,2026-04-02 13:15:13,46.4243166666667,"edge-chromium 146.0.0","false","Windows 10",1358,636,"698a6e1a2fb6c6ffe087cfdd","Female",46,"Master","Psychology, Neuroscience",FALSE,"White",3,2,3,1,2,4,3,0,0,5,0,3,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"put arms out, held heavy object, couldnt bend arm, listened to music, saw colored balls, memory task","held arm out with heavy object, tried to bend arm, palms facing each other like a magnet moved arms together, saw colored balls, listened to happy birthday- didn't hear any music","Hello",6,0,0.5,0,0,1,0.5,0,1,2,1,0,0,0,0.5,0,0.5,0.5,0,0,2,0,0.5,0,0,0,4,6,1,1,4,3,4,6,4,2,2,4,2,2,4,2,5,6,2,4,2,2,6,2
"S008",NA,2026-04-02 15:26:04,44.22185,"chrome 146.0.0","false","Windows 10",1920,959,"6918ad14fcfdc8ec8f99d226","Female",38,"Bachelor","Sociology, Anthropology",FALSE,"White",4,3,4,1,4,4,3,0,0,5,0,4,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Imagining holding a heavy ball.Imagining a magnetic force pulling hands togetherImagining a sweet taste in my mouth turning to sour.Seeing two balls on screen when there were actually three.raising hand when hearing happy birthday despite not hearing it.","pressing the keyboard 6 times after seeing please wait on the screen.","Hello",6,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7,7,1,1,3,3,3,3,6,3,6,4,1,1,1,3,1,6,2,5,6,1,1,1
"S009",NA,2026-04-02 15:26:25,52.73505,"chrome 146.0.0","false","Windows 10",2560,1279,"69b83b377bfc2e7e56038618","Male",41,"Bachelor","Psychology, Neuroscience",FALSE,"Indo-Caribbean",4,3,2,3,2,1,4,0,0,0,2,2,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"I was asked to review sets of 2 images, and choose if a line was longer than another, or if a ball was bigger than another.","After selecting which line was longer, and which ball was bigger, I was asked to perform several audio exercises that involved imagining things happening to my hands, then rating how strong I I 'felt' these effects.","Hello",0,0,0,0,0.5,0,0.5,1,0.5,1,1,0,0,0,1,0,1,0,2,0,0.5,0.5,0,0,0,0,6,5,3,3,2,6,4,3,5,3,5,3,2,6,2,4,6,5,5,2,3,3,3,5
"S010",NA,2026-04-02 15:32:52,46.9956,"edge-chromium 146.0.0","false","Windows 10",1272,668,"6966b68c1fefbb1f6193cf74","Female",48,"Bachelor","Arts and Humanities",FALSE,"East Asian",3,4,3,3,4,2,3,0,0,5,0,2,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"having ball. pushing hands. mosqiotos, heavy arms, listen happy birthday song, seeing two or three balls","I don't recall anything more","Hello",0,0.5,1,0,0.5,0,0.5,0.5,0.5,1,1,0.5,0,0.5,1,0.5,0,1,0,0.5,1,0,0,0.5,0,0.5,5,3,2,1,3,6,4,2,5,5,5,5,4,3,1,3,3,4,5,4,4,2,4,2
"S011",NA,2026-04-02 15:36:43,44.9314666666667,"chrome 146.0.0","false","Windows 10",1366,607,"673401c52dc6bf17faf8cfd3","Female",37,"Bachelor","Arts and Humanities",FALSE,"Black",3,2,3,1,0,2,2,0,0,3,0,0,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"I was asked to walk down a set of stairs. I was asked to hold my hand out and hold an imaginary bowling ball. I was asked to feel my palms attracting each other. I was asked to feel my left hand become heavier. I was asked to let you know when I hear happy birthday. I was asked to imagine 2 balls.","I remember all the things I remembered before.","Hello",6,0.5,0.5,0.5,0.5,1,1,0.5,0.5,1,1,0.5,0,1,0.5,0,1,1,0.5,1,1,0,0,0,0,0,3,5,5,5,2,6,6,2,6,2,5,2,2,3,1,2,3,3,4,2,6,1,2,1
